pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key,tier,oa_status,oa_pdf_url,publisher
40583605,10.1111/ctr.70219,2025,post,Clinical transplantation,Journal Article,Long-Term Outcomes Among Lung Transplant Recipients With High-Risk Cytomegalovirus Mismatch Managed With a Multimodality Regimen.,Torres F,United States,1,False,,torres f|united states,OA,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ctr.70219,Wiley
40536160,10.1002/ppul.71157,2025,post,Pediatric pulmonology,Journal Article; Observational Study,Health-Related Quality of Life After Pediatric Lung Transplantation.,Gruber S,Austria,1,False,,gruber s|austria,OA,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ppul.71157,Wiley
40515665,10.1111/ctr.70211,2025,post,Clinical transplantation,Journal Article,Calcineurin Inhibitor Replacement With Mammalian Target of Rapamycin (mTOR) Inhibitor Following Lung Transplantation.,Pennington KM,United States,1,True,registry,pennington km|united states,Wiley,closed,,Wiley
40498274,10.1007/s10388-025-01135-6,2025,post,Esophagus : official journal of the Japan Esophageal Society,Journal Article,Changes in esophageal contractile and barrier function in lung transplant recipients.,Balasubramanian G,United States,1,False,,balasubramanian g|united states,Springer,closed,,Springer Science and Business Media LLC
40491547,10.1016/j.jhlto.2025.100257,2025,post,JHLT open,Journal Article,Survival of patients with advanced chronic lung allograft dysfunction and the role of redo transplantation.,Jaksch P,Austria,2,True,,jaksch p|austria,OA,gold,https://www.jhltopen.org/article/S2950-1334(25)00052-7/pdf,Elsevier BV
40487877,10.3389/frtra.2025.1516728,2025,post,Frontiers in transplantation,Journal Article,Exhaled breath particles as a diagnostic tool for bronchiolitis obliterans syndrome in lung transplant recipients: a longitudinal study.,Olm F,Sweden,1,True,,olm f|sweden,OA,gold,https://www.frontiersin.org/journals/transplantation/articles/10.3389/frtra.2025.1516728/pdf,Frontiers Media SA
40484977,10.1002/jgm.70024,2025,post,The journal of gene medicine,"Journal Article; Research Support, Non-U.S. Gov't",FPPS Downregulation Attenuates Endoplasmic Reticulum Stress in Pulmonary Epithelial Cells.,Wu L,China,1,False,,wu l|china,OA,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jgm.70024,Wiley
40470157,10.1183/23120541.00675-2024,2025,post,ERJ open research,Journal Article,"Chronic lung allograft dysfunction after lung transplantation: prevention, diagnosis and treatment in 44 European centres.",Saez-Gimenez B,Germany,13,True,registry,saez-gimenez b|germany,OA,gold,https://doi.org/10.1183/23120541.00675-2024,European Respiratory Society (ERS)
40461919,10.1007/s12519-025-00916-4,2025,post,World journal of pediatrics : WJP,"Journal Article; Research Support, Non-U.S. Gov't","Pediatric lung transplantation in China, 2019-2023.",Chen JY,China,1,True,,chen jy|china,OA,hybrid,https://link.springer.com/content/pdf/10.1007/s12519-025-00916-4.pdf,Springer Science and Business Media LLC
40455051,10.1093/rheumatology/keaf299,2025,post,"Rheumatology (Oxford, England)",Journal Article,Lung transplantation outcomes of patients with interstitial pneumonia with autoimmune features: a single-centre retrospective cohort study.,Huang K,Canada,1,True,registry,huang k|canada,OA,hybrid,https://academic.oup.com/rheumatology/advance-article-pdf/doi/10.1093/rheumatology/keaf299/63417695/keaf299.pdf,Oxford University Press (OUP)
40453071,10.3389/fimmu.2025.1583460,2025,post,Frontiers in immunology,Journal Article; Randomized Controlled Trial,Extracorporeal photopheresis as induction therapy in lung transplantation for cystic fibrosis: a pilot randomized trial.,Rosso LP,Italy,1,True,rct,rosso lp|italy,OA,gold,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1583460/pdf,Frontiers Media SA
40449603,10.1016/j.ajt.2025.05.029,2025,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Adeno-associated virus-mediated transduction of PD-L1 in a rodent lung transplant model.,Hartwig MG,United States,1,True,registry,hartwig mg|united states,Elsevier,closed,,Elsevier BV
40446880,10.1016/j.healun.2025.05.002,2025,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,The effect of CTLA4-Ig on fibrotic progression in a murine model of chronic lung allograft dysfunction.,Date H,Japan,1,False,,date h|japan,Elsevier,closed,,Elsevier BV
40441397,10.1016/j.healun.2025.05.001,2025,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Association of Fc gamma-binding protein rs1464897604 polymorphism with bronchiolitis obliterans syndrome in lung transplant recipients.,Yeo HJ,United States,2,True,,yeo hj|united states,Elsevier,closed,,Elsevier BV
40437291,10.1007/s11695-025-07932-3,2025,post,Obesity surgery,Journal Article,Bariatric Surgery and Lung Transplant Outcomes: Case Series and Insights from a Propensity-Matched Analysis at a High-Volume Transplant Center.,Mittal SK,United States,1,False,,mittal sk|united states,OA,hybrid,https://link.springer.com/content/pdf/10.1007/s11695-025-07932-3.pdf,Springer Science and Business Media LLC
40404215,10.1183/13993003.02212-2024,2025,post,The European respiratory journal,Journal Article,Impaired IgA mucosal immunity following lung transplantation: a potential trigger for bronchiolitis obliterans syndrome.,,Belgium,2,True,,,OA,green,https://inserm.hal.science/inserm-05164907,European Respiratory Society (ERS)
